0Place,Type,Start,End
Food street,ACTIVITY,2015-03-03T19:00,2015-03-03T20:00
DaDong,FOOD,2015-03-03T20:00,2015-03-03T21:30
Tian an men,ACTIVITY,2015-03-03T22:00,2015-03-03T22:30
Nan lou guxiang,ACTIVITY,2015-03-03T23:00,2015-03-04T01:00
Sleep,SLEEP,2015-03-04T01:30,2015-03-04T08:30
Food,FOOD,2015-03-04T08:30,2015-03-04T09:00
Great Wall,ACTIVITY,2015-03-04T10:30,2015-03-04T12:30
BaDaLing Restaurant,FOOD,2015-03-04T12:30,2015-03-04T13:30
Ming tombs,ACTIVITY,2015-03-04T14:30,2015-03-04T16:30
DingTaiFeng,FOOD,2015-03-04T18:30,2015-03-04T21:00
Hou Hai,ACTIVITY,2015-03-04T21:30,2015-03-05T00:30
Sleep,SLEEP,2015-03-05T01:00,2015-03-05T09:00
JiaoziGuan,FOOD,2015-03-05T09:30,2015-03-05T10:30
Beijing University,ACTIVITY,2015-03-05T11:00,2015-03-05T12:00
Tsinghua Campus,ACTIVITY,2015-03-05T12:00,2015-03-05T13:00
BianYiFang,FOOD,2015-03-05T13:30,2015-03-05T15:00
Art District,ACTIVITY,2015-03-05T15:30,2015-03-05T19:00
