Place,Type,Start,End
DingTaiFeng,FOOD,2015-03-03T19:00,2015-03-03T20:30
Nan lou guxiang,ACTIVITY,2015-03-03T20:45,2015-03-04T00:00
Sleep,SLEEP,2015-03-04T00:30,2015-03-04T08:30
JiaoziGuan,FOOD,2015-03-04T09:00,2015-03-04T10:00
Beijing University,ACTIVITY,2015-03-04T10:30,2015-03-04T11:30
Tsinghua Campus,ACTIVITY,2015-03-04T11:30,2015-03-04T12:30
BianYiFang,FOOD,2015-03-04T12:45,2015-03-04T14:15
Olympic Stadium,ACTIVITY,2015-03-04T14:15,2015-03-04T16:45
Water Park,ACTIVITY,2015-03-04T16:45,2015-03-04T18:15
Capital M,FOOD,2015-03-04T19:45,2015-03-04T21:30
Hou Hai,ACTIVITY,2015-03-04T22:00,2015-03-05T01:00
Sleep,SLEEP,2015-03-05T01:30,2015-03-05T08:30
JiaoziGuan,FOOD,2015-03-05T09:00,2015-03-05T10:00
Art District,ACTIVITY,2015-03-05T10:30,2015-03-05T13:00
XiaoYunnan,FOOD,2015-03-05T13:30,2015-03-05T15:00
Forbidden City,ACTIVITY,2015-03-05T15:30,2015-03-05T16:30
Jingshan park,ACTIVITY,2015-03-05T16:30,2015-03-05T17:30
Food street,ACTIVITY,2015-03-05T18:00,2015-03-05T19:00
