Place,Type,Start,End
Capital M,FOOD,2015-03-03T19:00,2015-03-03T20:30
Food street,ACTIVITY,2015-03-03T20:45,2015-03-03T21:30
Wangfujing,ACTIVITY,2015-03-03T21:30,2015-03-03T23:00
Sleep,SLEEP,2015-03-03T23:30,2015-03-04T07:30
Food,FOOD,2015-03-04T07:30,2015-03-04T08:00
Great Wall,ACTIVITY,2015-03-04T10:00,2015-03-04T12:00
BaDaLing Restaurant,FOOD,2015-03-04T12:30,2015-03-04T13:30
Art District,ACTIVITY,2015-03-04T16:00,2015-03-04T18:00
DaDong,FOOD,2015-03-04T18:30,2015-03-04T20:30
Hou Hai,ACTIVITY,2015-03-04T21:00,2015-03-05T00:30
Sleep,SLEEP,2015-03-05T01:00,2015-03-05T09:00
JiaoziGuan,FOOD,2015-03-05T09:30,2015-03-05T10:30
Panjiayuan,ACTIVITY,2015-03-05T11:00,2015-03-05T12:30
XiaoYunnan,FOOD,2015-03-05T13:00,2015-03-05T14:30
Nan lou guxiang,ACTIVITY,2015-03-05T15:00,2015-03-05T18:00
