Place,Type,Start,End
BianYiFang,FOOD,2015-03-03T19:00,2015-03-03T20:30
Olympic Stadium,ACTIVITY,2015-03-03T20:45,2015-03-03T21:15
Water Cube,ACTIVITY,2015-03-03T21:15,2015-03-03T21:30
Sleep,SLEEP,2015-03-03T22:00,2015-03-04T7:00
JiaoziGuan,FOOD,2015-03-04T7:30,2015-03-04T8:30
Art District,ACTIVITY,2015-03-04T9:00,2015-03-04T12:00
XiaoYunnan,FOOD,2015-03-04T12:30,2015-03-04T13:30
Qianmen,ACTIVITY,2015-03-04T14:00,2015-03-04T15:00
Tian an men,ACTIVITY,2015-03-04T15:00,2015-03-04T15:30
Forbidden City,ACTIVITY,2015-03-04T15:30,2015-03-04T17:00
Jingshan park,ACTIVITY,2015-03-04T17:00,2015-03-04T18:00
Wangfujing,ACTIVITY,2015-03-04T18:15,2015-03-04T19:00
Food street,ACTIVITY,2015-03-04T19:00,2015-03-04T19:45
DaDong,FOOD,2015-03-04T20:00,2015-03-04T21:30
Hou Hai,ACTIVITY,2015-03-04T22:00,2015-03-05T1:00
Sleep,SLEEP,2015-03-05T1:30,2015-03-05T8:30
Food,FOOD,2015-03-05T8:30,2015-03-05T9:00
Great Wall,ACTIVITY,2015-03-05T10:30,2015-03-05T12:30
BaDaLing Restaurant,FOOD,2015-03-05T13:00,2015-03-05T14:00
Ming tombs,ACTIVITY,2015-03-05T15:00,2015-03-05T17:00
