Name,Location,Duration,Fun,Type,Price
DaDong,39.934240;116.430927,90,9,food,8
Capital M,39.898537;116.398548,90,9,food,10
QuanJuDe,39.920192;116.411192,90,8,food,9
BianYiFang,39.994014;116.378833,90,7,food,6
DingTaiFeng,39.909863;116.373770,60,9,food,7
XiaoYunnan,39.925887;116.400619,60,8,food,5
Blue Frog,39.934978;116.454894,60,6,food,6
Lush,39.992727;116.336331,60,3,food,4
HuiYiZhongxin,39.996084;116.347945,60,4,food,4
Tsinghua Canting,39.996084;116.347945,30,2,food,1
JiaoziGuan,39.996084;116.347945,60,5,food,2
LanZhouLaMian,39.996084;116.347945,60,5,food,2
ShuiQingYuan,39.996084;116.347945,60,5,food,4
YuXiangYuan,39.996084;116.347945,60,5,food,4
BaDaLing Restaurant,40.355946;116.010391,60,4,food,6
YuShanTang,40.359977;116.011861,60,5,food,6
