Name,Location,Duration,Fun,Type
Great Wall,40.359707; 116.020197,120,10,activity
Forbidden City,39.916505; 116.397203,60,10,activity
Art District,39.984329; 116.495745,180,9,activity
Olympic Stadium,39.984518; 116.399384,60,7,activity
Super Market,39.992364; 116.330237,30,2,activity
Laundromat,39.992923; 116.337618,60,1,activity
Tsinghua Campus,40.000616; 116.326503,60,5,activity
Beijing University,39.987123; 116.305879,60,6,activity
Yuyan University,39.994642; 116.349955,45,3,activity
Engineering University,39.992012; 116.351404,45,2,activity
Water Cube,39.993171; 116.390357,30,5,activity
Water Park,39.993171; 116.390357,90,4,activity
Hou Hai,39.944731; 116.381815,90,7,activity
Wangfujing,39.916281; 116.411150,60,7,activity
Zoo,39.938322; 116.338729,150,5,activity
Nan lou guxiang,39.940787; 116.402616,150,7,activity
Panjiayuan,39.876493; 116.459456,90,5,activity
Summer palace,40.000183; 116.275477,120,8,activity
Jingshan park,39.925358; 116.396848,60,5,activity
Beihai park,39.925657; 116.389237,90,6,activity
Qianmen,39.893297; 116.398287,60,6,activity
Tian an men,39.905799; 116.397627,30,9,activity
Ming tombs,40.255333, 116.223540,90,7,activity
Capital museum,39.988260; 116.391500,120,5,activity
Xidan,39.909502; 116.373756,120,4,activity
Food street,39.916931; 116.409905,45,7,activity
