Name,Location,Duration,Fun,Type,Price,,,
Empire State Buiding,40.748696;-73.985664,120,9,activity,,,,
Brooklyn Bridge,40.706375;-73.996821,90,8,activity,,,,
Times Square,40.759118;-73.985099,120,9,activity,,,,
Rockefeller Center,40.758963;-73.978706,45,5,activity,,,,
Statue of Liberty,40.706392;-74.035080,120,9,activity,,,,
Ellis Island,40.706392;-74.035080,120,7,activity,,,,
MoMA,40.761640;-73.977590,180,7,activity,,,,
Broadway Show,40.761482;-73.984165,180,9,activity,,,,
Wax Museum,40.756686;-73.988859,120,5,activity,,,,
Bronx Zoo,40.850834;-73.876998,180,7,activity,,,,
Central Park,40.783080;-73.965334,150,7,activity,,,,
Central Park Zoo,40.768001;-73.971866,90,5,activity,,,,
Circle Liner,40.703771;-74.006047,90,6,activity,,,,
Museum of Natural History,40.781539;-73.974031,120,6,activity,,,,
Metropolitan Museum of Art,40.779669;-73.963212,120,6,activity,,,,
Gugenheim,40.783187;-73.958992,120,6,activity,,,,
Coney Island,40.580687;-73.968371,150,7,activity,,,,
Tenement Museum,40.719009;-73.990082,120,6,activity,,,,
Highline,40.748183;-74.004776,90,7,activity,,,,
World Trade Center Memorial,40.712269;-74.013254,60,6,activity,,,,
Smorgasburg,40.703514;-73.993267,90,7,activity,,,,
Sleep No More,40.750248;-74.005537,180,8,activity,,,,
Intrepid,40.764750;-73.999608,120,5,activity,,,,
Prospect Park,40.660444;-73.968967,90,5,activity,,,,
Lincoln Center,40.772687;-73.983468,150,5,activity,,,,
SOHO,40.725312;-74.000057,150,6,activity,,,,
Bloomingdales,40.762548;-73.967956,120,5,activity,,,,
China Town,40.716399;-73.998018,120,6,activity,,,,
Chelsea Galleries,40.745719;-73.999701,150,7,activity,,,,
Stock Exchange,40.707133;-74.011254,60,2,activity,,,,
Grand Central,40.752950;-73.977250,60,6,activity,,,,
Long Island Vineyard Tours,40.667398;-73.602627,300,5,activity,,,,
Six Flags,40.137277;-74.440204,240,5,activity,,,,
Southampton,40.888649;-72.390932,480,5,activity,,,,
St. Patricks Cathedral,40.758688;-73.975950,45,4,activity,,,,
Central Synagogue,40.759803;-73.970558,45,3,activity,,,,
New York Public Library,40.753406;-73.982242,90,5,activity,,,,
Bryant Park,40.753609;-73.983315,45,4,activity,,,,
Carriage Ride in Central Park,40.765051;-73.973273,90,4,activity,,,,
Madison Square park,40.742285;-73.987596,45,4,activity,,,,
Flat iron building,40.741284;-73.989699,15,3,activity,,,,
Brooklyn Brewery,40.721645;-73.957409,120,5,activity,,,,
Globe Trotters Game,40.750736;-73.993450,150,5,activity,,,,
Katz’s Deli,40.722428;-73.987429,90,5,food,6,,,
Radegast,40.716876;-73.961441,90,8,food,5,,,
Russ & daughters,40.722732;-73.988325,90,7,food,8,,,
Nobu,40.719806;-74.008923,90,7,food,8,,,
Cafe Orlin,40.728750;-73.987128,90,6,food,5,,,
Xi-an Famous foods,40.748109;-73.983812,45,6,food,4,,,
Peking duck house,40.715231;-73.997459,90,7,food,6,,,
Lao Dong Bei,40.754052;-73.822309,90,6,food,4,,,
Caracas,40.727137;-73.985239,60,6,food,4,,,
Nathans Hotdog,40.576666;-73.981339,30,6,food,4,,,
Sushi Nakazawa,40.731978;-74.004539,90,9,food,9,,,
Laut,40.737851;-73.991056,60,6,food,5,,,
Tanoshi Sushi,40.767826;-73.952873,90,7,food,8,,,
Croque Monsieur,40.735223;-73.993005,45,6,food,5,,,
Shake Shack (madison sq park),40.741616;-73.988216,45,5,food,4,,,
Mama Mexico,40.649526;-74.015895,60,5,food,6,,,
Tavern on the Green,40.772474;-73.977850,90,7,food,7,,,
Carmines,40.791298;-73.974035,60,6,food,6,,,
Gotham Bar and Grill,40.734258;-73.993781,90,6,food,8,,,
Grand Central Oyster Bar,40.752742;-73.977455,60,7,food,7,,,
Pizzeria Uno,40.783258;-73.974831,60,5,food,6,,,
Patsy’s,40.778943;-73.977281,60,5,food,5,,,
Black Seed,40.721087;-73.994770,45,5,food,6,,,
Egg Shop,40.720639;-73.995271,60,6,food,5,,,
Artichoke Pizza,40.731628;-73.983856,45,6,food,5,,,
